rosbagTimestamp,linear,x,y,z,angular,x,y,z
216651000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
216751000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
216852000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
216951000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217054000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217153000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217251000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217351000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217453000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217555000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217651000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
217750000000,,0.2,0.0,0.0,,0.0,0.0,0.422293229721
217850000000,,0.2,0.0,0.0,,0.0,0.0,0.428926662074
217951000000,,0.2,0.0,0.0,,0.0,0.0,0.419302432929
218052000000,,0.2,0.0,0.0,,0.0,0.0,0.405470489152
218151000000,,0.2,0.0,0.0,,0.0,0.0,0.392058284938
218251000000,,0.2,0.0,0.0,,0.0,0.0,0.379105467081
218351000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
218455000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
218552000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
218652000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
218763000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
218851000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
218959000000,,0.2,0.0,0.0,,0.0,0.0,0.405121645967
219051000000,,0.2,0.0,0.0,,0.0,0.0,0.41567760412
219153000000,,0.2,0.0,0.0,,0.0,0.0,0.411194584469
219251000000,,0.2,0.0,0.0,,0.0,0.0,0.397686306891
219351000000,,0.2,0.0,0.0,,0.0,0.0,0.384394412145
219453000000,,0.2,0.0,0.0,,0.0,0.0,0.367420104376
219551000000,,0.2,0.0,0.0,,0.0,0.0,0.359209245561
219651000000,,0.2,0.0,0.0,,0.0,0.0,0.343481977181
219752000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
219852000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
219953000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
220052000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
220153000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
220255000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
220353000000,,0.2,0.0,0.0,,0.0,0.0,0.373722182663
220451000000,,0.2,0.0,0.0,,0.0,0.0,0.381207784584
220552000000,,0.2,0.0,0.0,,0.0,0.0,0.373839223509
220651000000,,0.2,0.0,0.0,,0.0,0.0,0.361590645448
220753000000,,0.2,0.0,0.0,,0.0,0.0,0.34969635515
220853000000,,0.2,0.0,0.0,,0.0,0.0,0.338205689508
220951000000,,0.2,0.0,0.0,,0.0,0.0,0.327104588627
221051000000,,0.2,0.0,0.0,,0.0,0.0,0.316378878145
221152000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
221251000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
221356000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
221452000000,,0.1,0.0,0.0,,0.0,0.0,-0.3
