x,y
-0.001523552,0.000470783
-0.001523545,0.000470802
-0.001523538,0.000470821
-0.001523531,0.00047084
-0.001523524,0.000470859
-0.001523517,0.000470879
-0.00152351,0.000470898
-0.001523503,0.000470917
-0.001523496,0.000470937
-0.001523489,0.000470956
-0.001523482,0.000470975
-0.001523475,0.000470994
-0.001523468,0.000471013
-0.001523461,0.000471032
-0.001523454,0.000471052
-0.001523447,0.000471071
-0.00152344,0.00047109
-0.001523433,0.000471109
-0.001523426,0.000471129
-0.001523419,0.000471148
-0.001523412,0.000471167
-0.001523405,0.000471186
-0.001523398,0.000471205
-0.001523391,0.000471225
-0.001523384,0.000471244
-0.001523377,0.000471263
-0.00152337,0.000471282
-0.001026998,0.000469399
0.000434437,0.000465319
0.002949607,0.000458918
0.005980916,0.000447166
0.009335117,0.000411471
0.012825265,0.000340234
0.016211925,0.00023739
0.019597384,0.000100293
0.023083854,-7.59E-05
0.026465911,-0.000280698
0.029845795,-0.000518876
0.033325477,-0.000799119
0.036699934,-0.001104917
0.040071221,-0.001443978
0.043541007,-0.001828068
0.046904849,-0.002234558
0.05026453,-0.002674201
0.05372132,-0.003161799
0.057071545,-0.00366862
0.060416618,-0.004208457
0.063857326,-0.004799127
0.06719094,-0.00540583
0.070518418,-0.006045379
0.07393997,-0.006738598
0.077253996,-0.007444643
0.080560907,-0.008183336
0.083960246,-0.008978487
0.087251723,-0.009783245
0.090535113,-0.010620425
0.093909202,-0.0115168
0.097175189,-0.012419555
0.100432123,-0.013354477
0.103777947,-0.014351277
0.107015526,-0.015351225
0.110243093,-0.016383055
0.113557662,-0.017479393
0.116763938,-0.018575643
0.119959254,-0.019703462
0.123239606,-0.02089836
0.126411714,-0.022089933
0.129571922,-0.023312735
0.132815124,-0.02460513
0.135950207,-0.02589084
0.13907242,-0.02720751
0.142275504,-0.028596224
0.145683806,-0.030111611
0.149779491,-0.031949938
0.154728268,-0.034158713
0.160241907,-0.036567719
0.166203172,-0.039081148
0.172385118,-0.041584578
0.178421672,-0.043930123
0.184490064,-0.046192236
0.190774363,-0.048435148
0.196906927,-0.050529159
0.203067084,-0.052541214
0.209441392,-0.054528145
0.215657088,-0.056375127
0.221896174,-0.058141861
0.228347595,-0.059877853
0.234634086,-0.061482893
0.240940189,-0.063009478
0.247456771,-0.06449998
0.253381271,-0.065779221
0.258560047,-0.066860672
