rosbagTimestamp,linear,x,y,z,angular,x,y,z
106087000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106187000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106288000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106391000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106488000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106587000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106688000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106788000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106888000000,,0.1,0.0,0.0,,0.0,0.0,0.3
106988000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107088000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107187000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107291000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107387000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107487000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107587000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107688000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107787000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107888000000,,0.1,0.0,0.0,,0.0,0.0,0.3
107989000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108087000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108192000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108287000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108388000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108488000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108587000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108687000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108787000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108887000000,,0.1,0.0,0.0,,0.0,0.0,0.3
108990000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109087000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109188000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109287000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109393000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109487000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109588000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109690000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109791000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109888000000,,0.1,0.0,0.0,,0.0,0.0,0.3
109989000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110087000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110187000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110287000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110388000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110487000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110588000000,,0.1,0.0,0.0,,0.0,0.0,0.3
110687000000,,0.2,0.0,0.0,,0.0,0.0,-0.211063269149
110789000000,,0.2,0.0,0.0,,0.0,0.0,-0.216175884774
110887000000,,0.2,0.0,0.0,,0.0,0.0,-0.214772435451
110988000000,,0.2,0.0,0.0,,0.0,0.0,-0.207868664357
111088000000,,0.2,0.0,0.0,,0.0,0.0,-0.201126959652
111188000000,,0.2,0.0,0.0,,0.0,0.0,-0.194607024345
111289000000,,0.2,0.0,0.0,,0.0,0.0,-0.1883021006
111388000000,,0.2,0.0,0.0,,0.0,0.0,-0.182204885151
111489000000,,0.2,0.0,0.0,,0.0,0.0,-0.176308322703
111587000000,,0.2,0.0,0.0,,0.0,0.0,-0.170605608662
111688000000,,0.2,0.0,0.0,,0.0,0.0,-0.165090182552
111788000000,,0.2,0.0,0.0,,0.0,0.0,-0.159755720388
111888000000,,0.2,0.0,0.0,,0.0,0.0,-0.154596126289
111988000000,,0.2,0.0,0.0,,0.0,0.0,-0.149605523907
112088000000,,0.2,0.0,0.0,,0.0,0.0,-0.144778248329
112187000000,,0.2,0.0,0.0,,0.0,0.0,-0.140108838342
112288000000,,0.2,0.0,0.0,,0.0,0.0,-0.135592028274
112388000000,,0.2,0.0,0.0,,0.0,0.0,-0.131222738878
112487000000,,0.2,0.0,0.0,,0.0,0.0,-0.12699606803
112588000000,,0.2,0.0,0.0,,0.0,0.0,-0.122907282248
112687000000,,0.2,0.0,0.0,,0.0,0.0,-0.118951809503
112787000000,,0.2,0.0,0.0,,0.0,0.0,-0.115125233055
112889000000,,0.2,0.0,0.0,,0.0,0.0,-0.111423286084
112988000000,,0.2,0.0,0.0,,0.0,0.0,-0.107841847048
113087000000,,0.2,0.0,0.0,,0.0,0.0,-0.104376935513
113189000000,,0.2,0.0,0.0,,0.0,0.0,-0.101024707781
113287000000,,0.2,0.0,0.0,,0.0,0.0,-0.0977814517724
113388000000,,0.2,0.0,0.0,,0.0,0.0,-0.0946435813654
113488000000,,0.2,0.0,0.0,,0.0,0.0,-0.0916076308407
113588000000,,0.2,0.0,0.0,,0.0,0.0,-0.0886702498743
113688000000,,0.2,0.0,0.0,,0.0,0.0,-0.0858281990631
113787000000,,0.2,0.0,0.0,,0.0,0.0,-0.0830783459509
113888000000,,0.2,0.0,0.0,,0.0,0.0,-0.0804176617829
113993000000,,0.2,0.0,0.0,,0.0,0.0,-0.077843219064
114090000000,,0.2,0.0,0.0,,0.0,0.0,-0.0753521893562
114189000000,,0.2,0.0,0.0,,0.0,0.0,-0.0729418404307
114288000000,,0.2,0.0,0.0,,0.0,0.0,-0.07060953244
114389000000,,0.2,0.0,0.0,,0.0,0.0,-0.0683527136648
114494000000,,0.2,0.0,0.0,,0.0,0.0,-0.0661689166276
114587000000,,0.2,0.0,0.0,,0.0,0.0,-0.0640557547976
114691000000,,0.2,0.0,0.0,,0.0,0.0,-0.0620109195856
114788000000,,0.2,0.0,0.0,,0.0,0.0,-0.0600321775255
114888000000,,0.2,0.0,0.0,,0.0,0.0,-0.0581173680126
114987000000,,0.2,0.0,0.0,,0.0,0.0,-0.056264401857
115087000000,,0.2,0.0,0.0,,0.0,0.0,-0.0544712601591
115189000000,,0.2,0.0,0.0,,0.0,0.0,-0.0527359925653
115288000000,,0.2,0.0,0.0,,0.0,0.0,-0.0510567144709
115387000000,,0.2,0.0,0.0,,0.0,0.0,-0.0494316037682
115488000000,,0.2,0.0,0.0,,0.0,0.0,-0.047858898061
115588000000,,0.2,0.0,0.0,,0.0,0.0,-0.0463368922329
115689000000,,0.2,0.0,0.0,,0.0,0.0,-0.0448639364234
115787000000,,0.2,0.0,0.0,,0.0,0.0,-0.0434384338319
115887000000,,0.2,0.0,0.0,,0.0,0.0,-0.0420588392799
115988000000,,0.2,0.0,0.0,,0.0,0.0,-0.0407236581015
116087000000,,0.2,0.0,0.0,,0.0,0.0,-0.0394314457351
116188000000,,0.2,0.0,0.0,,0.0,0.0,-0.0381808069542
116288000000,,0.2,0.0,0.0,,0.0,0.0,-0.0369703939478
116387000000,,0.2,0.0,0.0,,0.0,0.0,-0.0357989035826
